experiment,instrument,run,spots,bases,size,published
SRX3595719[accn],NextSeq 550,SRR6507280,"86,024,360",25.8G,9.8Gb,2018-05-01
SRX3595719[accn],NextSeq 550,SRR6507280,"86,024,360",25.8G,9.8Gb,2018-05-01
ERX1067839[accn],454 GS FLX Titanium,ERR986581,"339,209",189.2M,407.7Mb,2015-08-23
ERX1067840[accn],454 GS FLX Titanium,ERR986582,"424,775",228.7M,496.6Mb,2015-08-23
ERX1067842[accn],454 GS FLX Titanium,ERR986584,"288,735",158.2M,340.4Mb,2015-08-23
ERX1067843[accn],454 GS FLX Titanium,ERR986585,"209,811",110.5M,240.5Mb,2015-08-23
ERX1067845[accn],454 GS FLX Titanium,ERR986587,"145,482",77.8M,171.2Mb,2015-08-23
ERX1067846[accn],454 GS FLX Titanium,ERR986588,"386,358",207.6M,447Mb,2015-08-23
ERX1067847[accn],454 GS FLX Titanium,ERR986589,"347,468",258.6M,487.9Mb,2015-08-23
ERX1067849[accn],454 GS FLX Titanium,ERR986591,"440,618",235.3M,517Mb,2015-08-23
ERX1067850[accn],454 GS FLX Titanium,ERR986592,"228,192",120.2M,259.5Mb,2015-08-23
ERX1067851[accn],454 GS FLX Titanium,ERR986593,"214,648",152.3M,294.9Mb,2015-08-23
ERX1067853[accn],454 GS FLX Titanium,ERR986595,"341,501",216.9M,446.8Mb,2015-08-23
ERX1067854[accn],454 GS FLX Titanium,ERR986596,"173,189",93.5M,207.9Mb,2015-08-23
ERX1067856[accn],454 GS FLX Titanium,ERR986598,"253,553",166.1M,338Mb,2015-08-23
ERX1067857[accn],454 GS FLX Titanium,ERR986599,"333,324",182.5M,403.9Mb,2015-08-23
ERX1067859[accn],454 GS FLX Titanium,ERR986601,"309,926",164.9M,358.4Mb,2015-08-23
ERX1067860[accn],454 GS FLX Titanium,ERR986602,"314,983",168.3M,377.9Mb,2015-08-23
ERX1067862[accn],454 GS FLX Titanium,ERR986604,"385,460",209.5M,452.8Mb,2015-08-23
ERX1067863[accn],454 GS FLX Titanium,ERR986605,"284,703",156.4M,352.2Mb,2015-08-23
ERX1067865[accn],454 GS FLX Titanium,ERR986607,"554,947",301.6M,655Mb,2015-08-23
ERX1067866[accn],454 GS FLX Titanium,ERR986608,"583,624",311.8M,692.2Mb,2015-08-23
ERX1067867[accn],454 GS FLX Titanium,ERR986609,"620,372",341.7M,747.7Mb,2015-08-23
ERX1067868[accn],454 GS FLX Titanium,ERR986610,"568,256",301.6M,675.2Mb,2015-08-23
ERX1067869[accn],454 GS FLX Titanium,ERR986611,"339,017",185M,404.2Mb,2015-08-23
ERX1067870[accn],454 GS FLX Titanium,ERR986612,"362,123",189.7M,414.5Mb,2015-08-23
ERX1067872[accn],454 GS FLX Titanium,ERR986614,"207,511",110.5M,242.9Mb,2015-08-23
ERX1067873[accn],454 GS FLX Titanium,ERR986615,"270,443",139.8M,305.7Mb,2015-08-23
ERX1067875[accn],454 GS FLX Titanium,ERR986617,"268,725",150.9M,330.2Mb,2015-08-23
ERX1067876[accn],454 GS FLX Titanium,ERR986618,"189,786",102.1M,223.4Mb,2015-08-23
ERX1067878[accn],454 GS FLX Titanium,ERR986620,"214,314",106.8M,251.1Mb,2015-08-23
ERX1067879[accn],454 GS FLX Titanium,ERR986621,"281,173",152.3M,341Mb,2015-08-23
ERX1067883[accn],454 GS FLX Titanium,ERR986625,"258,940",142.9M,318.3Mb,2015-08-23
ERX1067884[accn],454 GS FLX Titanium,ERR986626,"347,044",183.4M,408.8Mb,2015-08-23
ERX1067885[accn],454 GS FLX Titanium,ERR986627,"353,977",182.5M,407.8Mb,2015-08-23
ERX1067887[accn],454 GS FLX Titanium,ERR986629,"338,411",174.3M,390.8Mb,2015-08-23
ERX1067888[accn],454 GS FLX Titanium,ERR986630,"333,335",170.6M,382.4Mb,2015-08-23
ERX1067889[accn],454 GS FLX Titanium,ERR986631,"302,474",157.6M,351.2Mb,2015-08-23
ERX1067890[accn],454 GS FLX Titanium,ERR986632,"172,224",97.6M,214.4Mb,2015-08-23
ERX1067891[accn],454 GS FLX Titanium,ERR986633,"117,210",69.6M,154.2Mb,2015-08-23
ERX1067892[accn],454 GS FLX Titanium,ERR986634,"103,117",56.5M,129.9Mb,2015-08-23
ERX1067894[accn],454 GS FLX Titanium,ERR986636,"292,253",142.6M,326.9Mb,2015-08-23
ERX1067895[accn],454 GS FLX Titanium,ERR986637,"461,871",225.9M,512.4Mb,2015-08-23
ERX1067897[accn],454 GS FLX Titanium,ERR986639,"67,199",33M,78.4Mb,2015-08-23
ERX1067898[accn],454 GS FLX Titanium,ERR986640,"222,902",109.7M,258.6Mb,2015-08-23
ERX1067900[accn],454 GS FLX Titanium,ERR986642,"246,507",122M,290Mb,2015-08-23
ERX1067901[accn],454 GS FLX Titanium,ERR986643,"243,549",111.7M,266.9Mb,2015-08-23
ERX1067903[accn],454 GS FLX Titanium,ERR986645,"297,802",156.9M,357.1Mb,2015-08-23
ERX1067904[accn],454 GS FLX Titanium,ERR986646,"239,323",116.5M,266.8Mb,2015-08-23
ERX1067905[accn],454 GS FLX Titanium,ERR986647,"167,580",87.6M,199.2Mb,2015-08-23
ERX1067906[accn],454 GS FLX Titanium,ERR986648,"184,272",93.6M,213.7Mb,2015-08-23
ERX1067908[accn],454 GS FLX Titanium,ERR986650,"429,574",218.5M,505.6Mb,2015-08-23
ERX1067909[accn],454 GS FLX Titanium,ERR986651,"383,168",200.1M,457.1Mb,2015-08-23
ERX1067910[accn],454 GS FLX Titanium,ERR986652,"315,861",169.6M,381.2Mb,2015-08-23
ERX1067911[accn],454 GS FLX Titanium,ERR986653,"172,216",94.8M,212.4Mb,2015-08-23
SRX2334639[accn],NextSeq 500,SRR5002342,"34,397,773",10.3G,4.2Gb,2017-03-01
SRX2334707[accn],NextSeq 500,SRR5002410,"19,138,710",5.8G,2.4Gb,2017-03-01
SRX2334640[accn],NextSeq 500,SRR5002343,"31,217,189",9.4G,3.8Gb,2017-03-01
SRX2334668[accn],NextSeq 500,SRR5002371,"16,778,652",5G,2.1Gb,2017-03-01
SRX2334697[accn],NextSeq 500,SRR5002400,"13,778,827",4.1G,1.7Gb,2017-03-01
SRX2334652[accn],NextSeq 500,SRR5002355,"19,571,888",5.9G,2.4Gb,2017-03-01
SRX2334669[accn],NextSeq 500,SRR5002372,"19,522,479",5.9G,2.5Gb,2017-03-01
SRX2334641[accn],NextSeq 500,SRR5002344,"25,129,694",7.5G,3.1Gb,2017-03-01
SRX2334703[accn],NextSeq 500,SRR5002406,"17,788,136",5.3G,2.2Gb,2017-03-01
SRX2334673[accn],NextSeq 500,SRR5002376,"29,437,423",8.8G,3.6Gb,2017-03-01
SRX2334638[accn],NextSeq 500,SRR5002341,"25,049,836",7.5G,3.1Gb,2017-03-01
SRX2334619[accn],NextSeq 500,SRR5002322,"18,870,008",5.7G,2.4Gb,2017-03-01
SRX2334660[accn],NextSeq 500,SRR5002363,"16,487,455",5G,2.1Gb,2017-03-01
SRX2334682[accn],NextSeq 500,SRR5002385,"30,628,720",9.2G,3.9Gb,2017-03-01
SRX2334656[accn],NextSeq 500,SRR5002359,"18,731,163",5.6G,2.3Gb,2017-03-01
SRX2334677[accn],NextSeq 500,SRR5002380,"18,509,153",5.6G,2.3Gb,2017-03-01
SRX2334699[accn],NextSeq 500,SRR5002402,"19,272,596",5.8G,3.7Gb,2017-03-01
SRX2334634[accn],NextSeq 500,SRR5002337,"19,430,202",5.8G,3.7Gb,2017-03-01
SRX2334631[accn],NextSeq 500,SRR5002334,"18,962,390",5.7G,3.6Gb,2017-03-01
SRX2334692[accn],NextSeq 500,SRR5002395,"14,565,979",4.3G,2.8Gb,2017-03-01
SRX2334658[accn],NextSeq 500,SRR5002361,"13,881,970",4.1G,2.6Gb,2017-03-01
SRX2334687[accn],NextSeq 500,SRR5002390,"11,512,749",3.5G,2.2Gb,2017-03-01
SRX2334613[accn],NextSeq 500,SRR5002316,"17,049,534",5.1G,3.2Gb,2017-03-01
SRX2334616[accn],NextSeq 500,SRR5002319,"15,507,891",4.6G,2.9Gb,2017-03-01
SRX2334678[accn],NextSeq 500,SRR5002381,"27,294,288",8.2G,5.1Gb,2017-03-01
SRX2334607[accn],NextSeq 500,SRR5002310,"10,431,954",3.1G,2Gb,2017-03-01
SRX2334709[accn],NextSeq 500,SRR5002412,"29,336,708",8.8G,4.4Gb,2017-03-01
SRX2334651[accn],NextSeq 500,SRR5002354,"1,213,105",344.1M,229Mb,2017-03-01
SRX2334674[accn],NextSeq 500,SRR5002377,"14,842,475",4.4G,2.8Gb,2017-03-01
SRX2334683[accn],NextSeq 500,SRR5002386,"859,190",257.7M,167.7Mb,2017-03-01
SRX2334606[accn],Illumina MiSeq,SRR5002309,"7,933,150",4.8G,2.3Gb,2017-03-01
SRX2334693[accn],NextSeq 500,SRR5002396,"23,132,462",7G,3.5Gb,2017-03-01
SRX2334659[accn],NextSeq 500,SRR5002362,"34,450,072",10.4G,5.3Gb,2017-03-01
SRX2334701[accn],NextSeq 500,SRR5002404,"109,946,285",33.1G,15.5Gb,2017-03-01
SRX2334646[accn],Illumina MiSeq,SRR5002349,"23,623,209",14.1G,7.5Gb,2017-03-01
SRX2334685[accn],NextSeq 500,SRR5002388,"47,197,827",14.2G,7Gb,2017-03-01
SRX2334698[accn],NextSeq 500,SRR5002401,"47,010,361",14.1G,7.8Gb,2017-03-01
SRX2334625[accn],NextSeq 500,SRR5002328,"55,236,405",16.6G,8.1Gb,2017-03-01
SRX2334705[accn],NextSeq 500,SRR5002408,"40,819,350",12.3G,6.4Gb,2017-03-01
SRX2334612[accn],Illumina MiSeq,SRR5002315,"1,379,164",824.2M,481.3Mb,2017-03-01
SRX2334647[accn],NextSeq 500,SRR5002350,"32,354,026",9.7G,4.9Gb,2017-03-01
SRX2334702[accn],NextSeq 500,SRR5002405,"32,994,235",9.9G,5Gb,2017-03-01
SRX2334632[accn],Illumina MiSeq,SRR5002335,"977,094",585M,342.5Mb,2017-03-01
SRX2334648[accn],NextSeq 500,SRR5002351,"31,429,306",9.5G,4.8Gb,2017-03-01
SRX2334675[accn],NextSeq 500,SRR5002378,"26,981,547",8.1G,4.1Gb,2017-03-01
